,available_supply,id,market_cap_usd,name,rank,symbol,last_price_btc,max_price_btc,mean_price_btc,median_price_btc,std_price_btc,min_price_btc,first_price_btc,last_price_usd,max_price_usd,mean_price_usd,median_price_usd,std_price_usd,min_price_usd,first_price_usd,last_percent_change_1h,max_percent_change_1h,mean_percent_change_1h,median_percent_change_1h,std_percent_change_1h,min_percent_change_1h,first_percent_change_1h,last_percent_change_7d,max_percent_change_7d,mean_percent_change_7d,median_percent_change_7d,std_percent_change_7d,min_percent_change_7d,first_percent_change_7d,last_volume_24h_usd,max_volume_24h_usd,mean_volume_24h_usd,median_volume_24h_usd,std_volume_24h_usd,min_volume_24h_usd,first_volume_24h_usd,last_percent_change_24h,max_percent_change_24h,mean_percent_change_24h,median_percent_change_24h,std_percent_change_24h,min_percent_change_24h,first_percent_change_24h,last_max_supply,max_max_supply,mean_max_supply,median_max_supply,std_max_supply,min_max_supply,first_max_supply,last_total_supply,max_total_supply,mean_total_supply,median_total_supply,std_total_supply,min_total_supply,first_total_supply,date,active_assets,active_currencies,active_markets,total_24h_volume_usd,total_market_cap_usd,percent_currency_market_cap_usd
20,133248289.0,nano,1820971120.0,Nano,21,NANO,0.00133168,0.00133168,0.00133168,0.00133168,,0.00133168,0.00133168,13.666,13.666,13.666,13.666,,13.666,13.666,7.2,7.2,7.2,7.2,,7.2,7.2,54.41,54.41,54.41,54.41,,54.41,54.41,127381000.0,127381000.0,127381000.0,127381000.0,,127381000.0,127381000.0,21.5,21.5,21.5,21.5,,21.5,21.5,133248290.0,133248290.0,133248290.0,133248290.0,,133248290.0,133248290.0,133248289.0,133248289.0,133248289.0,133248289.0,,133248289.0,133248289.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.4028692941427698
21,102042552.0,omisego,1787601830.0,OmiseGO,22,OMG,0.00170706,0.00170706,0.00170706,0.00170706,,0.00170706,0.00170706,17.5182,17.5182,17.5182,17.5182,,17.5182,17.5182,0.8,0.8,0.8,0.8,,0.8,0.8,-2.54,-2.54,-2.54,-2.54,,-2.54,-2.54,34005000.0,34005000.0,34005000.0,34005000.0,,34005000.0,34005000.0,6.02,6.02,6.02,6.02,,6.02,6.02,,,,,,,,140245398.0,140245398.0,140245398.0,140245398.0,,140245398.0,140245398.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.3954867156050358
22,386442514.0,icon,1577651563.0,ICON,23,ICX,0.00039782,0.00039782,0.00039782,0.00039782,,0.00039782,0.00039782,4.0825,4.0825,4.0825,4.0825,,4.0825,4.0825,-1.19,-1.19,-1.19,-1.19,,-1.19,-1.19,-15.32,-15.32,-15.32,-15.32,,-15.32,-15.32,59066800.0,59066800.0,59066800.0,59066800.0,,59066800.0,59066800.0,10.49,10.49,10.49,10.49,,10.49,10.49,,,,,,,,400230000.0,400230000.0,400230000.0,400230000.0,,400230000.0,400230000.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.34903759022221476
23,3363306.0,zcash,1379416335.0,Zcash,24,ZEC,0.0399657,0.0399657,0.0399657,0.0399657,,0.0399657,0.0399657,410.137,410.137,410.137,410.137,,410.137,410.137,-0.57,-0.57,-0.57,-0.57,,-0.57,-0.57,-14.1,-14.1,-14.1,-14.1,,-14.1,-14.1,59743600.0,59743600.0,59743600.0,59743600.0,,59743600.0,59743600.0,6.19,6.19,6.19,6.19,,6.19,6.19,,,,,,,,3363306.0,3363306.0,3363306.0,3363306.0,,3363306.0,3363306.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.3051802849077895
24,99014000.0,binance-coin,986336872.0,Binance Coin,25,BNB,0.0009707,0.0009707,0.0009707,0.0009707,,0.0009707,0.0009707,9.96159,9.96159,9.96159,9.96159,,9.96159,9.96159,1.06,1.06,1.06,1.06,,1.06,1.06,-10.14,-10.14,-10.14,-10.14,,-10.14,-10.14,56916200.0,56916200.0,56916200.0,56916200.0,,56916200.0,56916200.0,9.8,9.8,9.8,9.8,,9.8,9.8,,,,,,,,197192382.0,197192382.0,197192382.0,197192382.0,,197192382.0,197192382.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.21821589318211013
25,14642967602.0,verge,921930026.0,Verge,26,XVG,6.14e-06,6.14e-06,6.14e-06,6.14e-06,,6.14e-06,6.14e-06,0.0629606,0.0629606,0.0629606,0.0629606,,0.0629606,0.0629606,4.44,4.44,4.44,4.44,,4.44,4.44,-22.16,-22.16,-22.16,-22.16,,-22.16,-22.16,19417700.0,19417700.0,19417700.0,19417700.0,,19417700.0,19417700.0,10.79,10.79,10.79,10.79,,10.79,10.79,16555000000.0,16555000000.0,16555000000.0,16555000000.0,,16555000000.0,16555000000.0,14642967602.0,14642967602.0,14642967602.0,14642967602.0,,14642967602.0,14642967602.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.20396660591939833
26,183750801471.0,bytecoin-bcn,891424751.0,Bytecoin,27,BCN,4.7e-07,4.7e-07,4.7e-07,4.7e-07,,4.7e-07,4.7e-07,0.00485127,0.00485127,0.00485127,0.00485127,,0.00485127,0.00485127,1.2,1.2,1.2,1.2,,1.2,1.2,-17.03,-17.03,-17.03,-17.03,,-17.03,-17.03,756344.0,756344.0,756344.0,756344.0,,756344.0,756344.0,8.75,8.75,8.75,8.75,,8.75,8.75,184470000000.0,184470000000.0,184470000000.0,184470000000.0,,184470000000.0,184470000000.0,183750801471.0,183750801471.0,183750801471.0,183750801471.0,,183750801471.0,183750801471.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.19721765835405689
27,250613120.0,steem,886478754.0,Steem,28,STEEM,0.00034469,0.00034469,0.00034469,0.00034469,,0.00034469,0.00034469,3.53724,3.53724,3.53724,3.53724,,3.53724,3.53724,0.18,0.18,0.18,0.18,,0.18,0.18,-19.47,-19.47,-19.47,-19.47,,-19.47,-19.47,5124330.0,5124330.0,5124330.0,5124330.0,,5124330.0,5124330.0,4.53,4.53,4.53,4.53,,4.53,4.53,,,,,,,,267587214.0,267587214.0,267587214.0,267587214.0,,267587214.0,267587214.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.19612341237819414
28,2000000.0,digixdao,829000000.0,DigixDAO,29,DGD,0.0403909,0.0403909,0.0403909,0.0403909,,0.0403909,0.0403909,414.5,414.5,414.5,414.5,,414.5,414.5,-0.32,-0.32,-0.32,-0.32,,-0.32,-0.32,40.09,40.09,40.09,40.09,,40.09,40.09,70256800.0,70256800.0,70256800.0,70256800.0,,70256800.0,70256800.0,16.75,16.75,16.75,16.75,,16.75,16.75,,,,,,,,2000000.0,2000000.0,2000000.0,2000000.0,,2000000.0,2000000.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.18340688722419504
29,37004027.0,populous,807612887.0,Populous,30,PPT,0.00212673,0.00212673,0.00212673,0.00212673,,0.00212673,0.00212673,21.825,21.825,21.825,21.825,,21.825,21.825,1.46,1.46,1.46,1.46,,1.46,1.46,-22.23,-22.23,-22.23,-22.23,,-22.23,-22.23,2640170.0,2640170.0,2640170.0,2640170.0,,2640170.0,2640170.0,3.98,3.98,3.98,3.98,,3.98,3.98,53252246.0,53252246.0,53252246.0,53252246.0,,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,53252246.0,,53252246.0,53252246.0,2018-02-26 14:00:00,585,903,8718,18289577372.0,452000474217.0,0.17867523002028418
